model,n_params,train_step_ms,epoch_estimate_h,infer_jets_per_s_bs128,infer_jets_per_s_bs512,infer_jets_per_s_bs2048
so3c_equivariant_set,9056,70.22699998924509,0.18455923825298567,5595.334888496835,6483.409058030785,6606.189496576703
so3c_invariant_set,5506,5.491799995070323,0.014432660143294621,27135.8915203676,32419.22105340626,34708.3347480536
eta_invariants,4802,3.133299993351102,0.00823443205717922,81316.30797957847,97484.81553413639,111803.81923191104
relu_mlp,9053,43.54020000027958,0.11442530859448476,5694.963517076296,5608.488096314658,5477.268533227381
